C,[ -21. 3184.],[ 9.5 18.5],-20.999999999999876,3183.999999999982,9.5,18.499999999999993,[128 480 137 288],[ 48 480  28 288],9.298659801483154,128,480,137,288,48,480,28,288
C,[ -4.57142857 828.57142857],[    6.57804029 -1362.43578755],-4.571428571428575,828.5714285714294,6.578040293040286,-1362.4357875457865,[ 76 480 118 288],[280 480 250 288],11.800662517547607,76,480,118,288,280,480,250,288
C,[ -4.2173913  795.52173913],[    6.61528472 -1389.9013653 ],-4.217391304347827,795.5217391304351,6.615284715284756,-1389.901365301376,[ 74 480 120 288],[282 480 253 288],11.968871593475342,74,480,120,288,282,480,253,288
C,[ -4.52380952 832.9047619 ],[    6.99703936 -1476.04702194],-4.523809523809529,832.9047619047626,6.997039359108314,-1476.0470219435708,[ 78 480 120 288],[279 480 252 288],12.130713701248169,78,480,120,288,279,480,252,288
C,[  -29.65909091 10776.25      ],[    6.02957616 -1235.82113943],-29.65909090908902,10776.249999999292,6.029576158608417,-1235.8211394340415,[347 480 353 288],[284 480 252 288],12.294328927993774,347,480,353,288,284,480,252,288
C,[  -34.10869565 12453.65217391],[    6.12730186 -1261.26491841],-34.108695652171704,12453.652173912216,6.127301864801891,-1261.264918414925,[351 480 356 288],[284 480 252 288],12.457462787628174,351,480,356,288,284,480,252,288
C,[  -35.68181818 13023.5       ],[    6.58431085 -1376.73289345],-35.681818181815885,13023.499999999138,6.584310850439891,-1376.732893450637,[351 480 356 288],[281 480 252 288],12.63122844696045,351,480,356,288,281,480,252,288
C,[ -18.85869565 6767.90217391],[    6.84602897 -1440.06422744],-18.858695652174454,6767.902173913247,6.8460289710289794,-1440.0642274392294,[333 480 343 288],[280 480 252 288],12.800329208374023,333,480,343,288,280,480,252,288
C,[ -16.46969697 5863.        ],[    6.9100812  -1456.00534759],-16.469696969696944,5862.99999999999,6.910081204198839,-1456.0053475935802,[326 480 338 288],[280 480 252 288],12.960777521133423,326,480,338,288,280,480,252,288
C,[ -14.10869565 4986.65217391],[    6.74872286 -1415.47126437],-14.108695652173886,4986.652173913034,6.748722860791804,-1415.471264367811,[319 480 333 288],[280 480 252 288],13.119153499603271,319,480,333,288,280,480,252,288
C,[ -18.68181818 6682.5       ],[    6.72490792 -1409.51358195],-18.68181818181871,6682.500000000198,6.72490791896869,-1409.5135819521167,[332 480 342 288],[280 480 252 288],13.2803316116333,332,480,342,288,280,480,252,288
C,[ -18.40909091 6587.        ],[    6.80473272 -1429.96867552],-18.40909090909142,6587.000000000193,6.804732720463046,-1429.9686755192345,[331 480 342 288],[280 480 252 288],13.443119764328003,331,480,342,288,280,480,252,288
C,[  -32. 12182.],[    6.73494159 -1413.29336381],-32.00000000000101,12182.000000000382,6.7349415947181726,-1413.2933638056645,[365 480 371 288],[281 480 252 288],13.597809791564941,365,480,371,288,281,480,252,288
