,direction,leftFitAverage,rightFitAverage,leftLine,rigthLine,time(s),leftX1,leftY1,leftX2,leftY2,rightX1,rightY1,rightX2,rightX2
0,C,[  -8.3123714  5113.90985494],[    7.9471784  -3137.65714214],[557 480 580 288],[455 480 431 288],2.5908515453338623,557,480,580,288,455,480,431,288
1,C,[  -7.35013252 4552.3214781 ],[    7.23053185 -2818.52632203],[554 480 580 288],[456 480 429 288],3.22418212890625,554,480,580,288,456,480,429,288
2,C,[  -7.32005327 4557.19634062],[    4.96341213 -1835.90275664],[556 480 583 288],[466 480 427 288],3.338578701019287,556,480,583,288,466,480,427,288
3,C,[  -6.48707791 4037.34668817],[    6.65957801 -2568.93874222],[548 480 577 288],[457 480 428 288],3.4721925258636475,548,480,577,288,457,480,428,288
4,C,[  -7.19561536 4460.00382395],[    8.10601986 -3203.32426037],[553 480 579 288],[454 480 430 288],3.604973554611206,553,480,579,288,454,480,430,288
5,C,[  -5.78852831 3653.2148344 ],[    7.90021797 -3154.0818343 ],[548 480 581 288],[459 480 435 288],3.7319185733795166,548,480,581,288,459,480,435,288
6,C,[  -7.28039618 4513.1643638 ],[    7.11878339 -2736.39587972],[553 480 580 288],[451 480 424 288],3.8647446632385254,553,480,580,288,451,480,424,288
7,C,[  -5.49412405 3441.97858209],[    5.491355   -2075.31667271],[539 480 574 288],[465 480 430 288],3.9934418201446533,539,480,574,288,465,480,430,288
8,C,[ -11.40829144 6968.5759261 ],[    6.71567387 -2600.17074369],[568 480 585 288],[458 480 430 288],4.118242025375366,568,480,585,288,458,480,430,288
9,C,[  -4.37183975 2803.10597888],[    6.27713755 -2405.38730225],[531 480 575 288],[459 480 429 288],4.247521638870239,531,480,575,288,459,480,429,288
10,C,[  -7.98568339 4925.89169427],[    7.5228577  -2936.92621337],[556 480 580 288],[454 480 428 288],4.373455286026001,556,480,580,288,454,480,428,288
11,C,[  -9.36451067 5746.81878112],[    6.21157016 -2336.3095623 ],[562 480 582 288],[453 480 422 288],4.4988853931427,562,480,582,288,453,480,422,288
12,C,[  -7.17240384 4452.24007683],[    9.19111833 -3680.31152789],[553 480 580 288],[452 480 431 288],4.615339756011963,553,480,580,288,452,480,431,288
13,C,[  -4.88644276 3108.24473066],[    7.12664784 -2750.74389717],[537 480 577 288],[453 480 426 288],4.7321577072143555,537,480,577,288,453,480,426,288
14,C,[ -10.07240233 6179.83741866],[    7.9840895  -3195.51879788],[565 480 584 288],[460 480 436 288],4.866656064987183,565,480,584,288,460,480,436,288
15,C,[  -8.47030535 5183.73907357],[    6.73005492 -2641.46338464],[555 480 577 288],[463 480 435 288],4.998709440231323,555,480,577,288,463,480,435,288
16,C,[ -10.92039671 4092.24050605],[   2.13429357 -627.54500412],[330 480 348 288],[518 480 428 288],5.117696285247803,330,480,348,288,518,480,428,288
17,C,[  -7.49013065 4637.06420534],[   1.84223194 -453.9439179 ],[555 480 580 288],[506 480 402 288],5.256588459014893,555,480,580,288,506,480,402,288
18,C,[  -9.37435679 3565.93751175],[    8.20677144 -3302.13438729],[329 480 349 288],[460 480 437 288],5.392588138580322,329,480,349,288,460,480,437,288
19,C,[  -4.12192534 2669.7840853 ],[    4.43811642 -1608.01545146],[531 480 577 288],[470 480 427 288],5.561661005020142,531,480,577,288,470,480,427,288
20,C,[  -4.10193108 2656.27908623],[    4.56428662 -1688.5160478 ],[530 480 577 288],[475 480 433 288],5.704712390899658,530,480,577,288,475,480,433,288
21,C,[  -4.7541393  1714.84432861],[    7.4490512  -2922.00820728],[259 480 300 288],[456 480 430 288],5.839507818222046,259,480,300,288,456,480,430,288
22,C,[  -8.55214688 2855.40686284],[    3.99301976 -1429.89207737],[277 480 300 288],[478 480 430 288],5.982693195343018,277,480,300,288,478,480,430,288
23,C,[  -7.69813524 2592.95776859],[    5.80620807 -2203.72715223],[274 480 299 288],[462 480 429 288],6.104929208755493,274,480,299,288,462,480,429,288
24,C,[  -7.40463397 3125.44220508],[    6.89713857 -2671.0135316 ],[357 480 383 288],[456 480 429 288],6.229034900665283,357,480,383,288,456,480,429,288
25,C,[  -7.45461629 2445.38673025],[    4.27712233 -1537.55014615],[263 480 289 288],[471 480 426 288],6.344372034072876,263,480,289,288,471,480,426,288
26,C,[  -5.68565292 1992.64001539],[    6.88006044 -2664.970277  ],[266 480 299 288],[457 480 429 288],6.477406024932861,266,480,299,288,457,480,429,288
27,C,[  -8.0194569  3130.92600621],[    5.22008314 -1949.32814943],[330 480 354 288],[465 480 428 288],6.606523275375366,330,480,354,288,465,480,428,288
