,direction,leftFitAverage,rightFitAverage,leftLine,rigthLine,time(s),leftX1,leftY1,leftX2,leftY2,rightX1,rightY1,rightX2,rightX2
0,C,[-1.12336677e-01  2.51542690e+02],[  0.19463017 114.54691356],[-2033   480  -324   288],[1877  480  891  288],2.5783393383026123,-2033,480,-324,288,1877,480,891,288
1,C,[-5.12820513e-02  2.26666667e+02],[  0.2333377  101.40339579],[-4939   480 -1195   288],[1622  480  799  288],3.186711549758911,-4939,480,-1195,288,1622,480,799,288
2,C,[-4.53355474e-02  2.23010041e+02],[  0.16967825 127.86839377],[-5668   480 -1433   288],[2075  480  943  288],3.284391403198242,-5668,480,-1433,288,2075,480,943,288
3,C,[-8.97023331e-02  2.38592518e+02],[  0.17859952 125.54117975],[-2691   480  -550   288],[1984  480  909  288],3.3720273971557617,-2691,480,-550,288,1984,480,909,288
4,C,[-6.89200577e-02  2.26055215e+02],[  0.19585972 120.78054152],[-3684   480  -898   288],[1834  480  853  288],3.4687728881835938,-3684,480,-898,288,1834,480,853,288
5,C,[-6.70813544e-02  2.28692903e+02],[  0.16717273 130.79401935],[-3746   480  -884   288],[2088  480  940  288],3.564283609390259,-3746,480,-884,288,2088,480,940,288
6,C,[-4.67140577e-02  2.22186348e+02],[  0.19615611 120.60147041],[-5518   480 -1408   288],[1832  480  853  288],3.66428542137146,-5518,480,-1408,288,1832,480,853,288
7,C,[-4.90023474e-02  2.31551937e+02],[  0.17778281 123.22492228],[-5070   480 -1151   288],[2006  480  926  288],3.7596046924591064,-5070,480,-1151,288,2006,480,926,288
8,C,[-9.31142410e-02  2.44097027e+02],[  0.16452505 131.43373165],[-2533   480  -471   288],[2118  480  951  288],3.852095365524292,-2533,480,-471,288,2118,480,951,288
9,C,[-5.98148773e-02  2.18675195e+02],[  0.1679526  128.32335342],[-4368   480 -1158   288],[2093  480  950  288],3.9527111053466797,-4368,480,-1158,288,2093,480,950,288
10,C,[-6.22854103e-02  2.20581798e+02],[  0.16995291 127.84389548],[-4164   480 -1082   288],[2072  480  942  288],4.046091318130493,-4164,480,-1082,288,2072,480,942,288
11,C,[-9.17900073e-02  2.47098081e+02],[  0.16802733 127.41776749],[-2537   480  -445   288],[2098  480  955  288],4.142456769943237,-2537,480,-445,288,2098,480,955,288
12,C,[-5.59442401e-02  2.18896908e+02],[ 0.2368514  98.48958213],[-4667   480 -1235   288],[1610  480  800  288],4.235538959503174,-4667,480,-1235,288,1610,480,800,288
13,C,[-9.93534980e-02  2.48633624e+02],[ 0.28267687 69.61695196],[-2328   480  -396   288],[1451  480  772  288],4.320318937301636,-2328,480,-396,288,1451,480,772,288
14,C,[-7.17281898e-02  2.35886255e+02],[  0.19937467 112.40387057],[-3403   480  -726   288],[1843  480  880  288],4.4109416007995605,-3403,480,-726,288,1843,480,880,288
15,C,[-4.79644324e-02  2.19264259e+02],[  0.19676609 113.2495667 ],[-5436   480 -1433   288],[1863  480  888  288],4.509377479553223,-5436,480,-1433,288,1863,480,888,288
16,C,[-7.87198348e-02  2.32444832e+02],[  0.17181938 128.19271373],[-3144   480  -705   288],[2047  480  930  288],4.597623586654663,-3144,480,-705,288,2047,480,930,288
17,C,[-7.18620249e-02  2.26398382e+02],[  0.15158935 139.99720384],[-3529   480  -857   288],[2242  480  976  288],4.695812463760376,-3529,480,-857,288,2242,480,976,288
18,C,[-8.84955752e-02  2.39548673e+02],[  0.19177342 114.52295983],[-2717   480  -547   288],[1905  480  904  288],4.78464412689209,-2717,480,-547,288,1905,480,904,288
19,C,[-7.88494692e-02  2.40129359e+02],[ 0.22728091 94.09551141],[-3042   480  -607   288],[1697  480  853  288],4.869167327880859,-3042,480,-607,288,1697,480,853,288
20,C,[-5.23809524e-02  2.14580952e+02],[  0.19670259 120.30309464],[-5067   480 -1401   288],[1828  480  852  288],4.9569783210754395,-5067,480,-1401,288,1828,480,852,288
21,C,[-9.62962963e-02  2.43352910e+02],[  0.15042928 139.07869011],[-2457   480  -463   288],[2266  480  989  288],5.041253566741943,-2457,480,-463,288,2266,480,989,288
22,C,[-7.2915496e-02  2.3448687e+02],[1.32809515e-01 1.45971241e+02],[-3367   480  -733   288],[2515  480 1069  288],5.13002347946167,-3367,480,-733,288,2515,480,1069,288
23,C,[-8.63095238e-02  2.36767857e+02],[  0.18955202 116.62721914],[-2818   480  -593   288],[1917  480  904  288],5.21651554107666,-2818,480,-593,288,1917,480,904,288
24,C,[-6.74242424e-02  2.23646970e+02],[  0.23173099 102.07630028],[-3802   480  -954   288],[1630  480  802  288],5.300861597061157,-3802,480,-954,288,1630,480,802,288
25,C,[-8.10820141e-02  2.40892206e+02],[1.23714117e-01 1.52800349e+02],[-2948   480  -580   288],[2644  480 1092  288],5.382640361785889,-2948,480,-580,288,2644,480,1092,288
26,C,[-1.04166667e-01  2.47375000e+02],[  0.19487175 114.33440012],[-2233   480  -389   288],[1876  480  891  288],5.4739930629730225,-2233,480,-389,288,1876,480,891,288
27,C,[-1.11111111e-01  2.51388889e+02],[  0.15109864 138.51947912],[-2057   480  -329   288],[2259  480  989  288],5.562757730484009,-2057,480,-329,288,2259,480,989,288
28,C,[-8.26202589e-02  2.32509847e+02],[  0.14192367 141.27904577],[-2995   480  -671   288],[2386  480 1033  288],5.648953199386597,-2995,480,-671,288,2386,480,1033,288
29,C,[-6.21562683e-02  2.34246825e+02],[  0.14732611 141.2109832 ],[-3953   480  -864   288],[2299  480  996  288],5.741008281707764,-3953,480,-864,288,2299,480,996,288
30,C,[-5.24691358e-02  2.29672840e+02],[  0.19313551 112.3079324 ],[-4770   480 -1111   288],[1903  480  909  288],5.825814247131348,-4770,480,-1111,288,1903,480,909,288
31,C,[-9.24885845e-02  2.42595040e+02],[1.41217711e-01 1.46658800e+02],[-2566   480  -490   288],[2360  480 1000  288],5.914974927902222,-2566,480,-490,288,2360,480,1000,288
32,C,[-9.71651991e-02  2.43053663e+02],[  0.19520547 113.98387222],[-2438   480  -462   288],[1875  480  891  288],6.001258611679077,-2438,480,-462,288,1875,480,891,288
33,C,[-9.72780906e-02  2.43228882e+02],[  0.16734493 130.25047329],[-2433   480  -460   288],[2089  480  942  288],6.08718204498291,-2433,480,-460,288,2089,480,942,288
34,C,[-3.90157857e-02  2.07241898e+02],[  0.15622169 133.16229716],[-6990   480 -2069   288],[2220  480  991  288],6.181878566741943,-6990,480,-2069,288,2220,480,991,288
35,C,[-7.05387205e-02  2.35241919e+02],[ 0.22921686 93.28613036],[-3469   480  -747   288],[1687  480  849  288],6.2715003490448,-3469,480,-747,288,1687,480,849,288
36,C,[-5.43922770e-02  2.18251098e+02],[  0.15747452 138.787658  ],[-4812   480 -1282   288],[2166  480  947  288],6.371946096420288,-4812,480,-1282,288,2166,480,947,288
37,C,[-7.94696459e-02  2.32916877e+02],[  0.19272788 115.07997061],[-3109   480  -693   288],[1893  480  897  288],6.46809983253479,-3109,480,-693,288,1893,480,897,288
38,C,[-7.93099151e-02  2.38355480e+02],[ 0.23323376 94.16580422],[-3046   480  -625   288],[1654  480  831  288],6.5660247802734375,-3046,480,-625,288,1654,480,831,288
39,C,[-4.67140577e-02  2.28686348e+02],[  0.16993068 128.73772779],[-5379   480 -1269   288],[2067  480  937  288],6.661827325820923,-5379,480,-1269,288,2067,480,937,288
40,C,[-1.11889731e-01  2.54963510e+02],[1.31263631e-01 1.48451432e+02],[-2011   480  -295   288],[2525  480 1063  288],6.757198333740234,-2011,480,-295,288,2525,480,1063,288
