,direction,leftFitAverage,rightFitAverage,leftLine,rigthLine,time(s),leftX1,leftY1,leftX2,leftY2,rightX1,rightY1,rightX2,rightX2
0,L,,[ 0.18789954 95.98881279],[0 0 0 0],[2043  480 1021  288],2.579914093017578,0,0,0,0,2043,480,1021,288
1,L,,[ 0.19066488 94.66422133],[0 0 0 0],[2021  480 1014  288],3.186549663543701,0,0,0,0,2021,480,1014,288
2,C,[-1.34942276e-16  1.81000000e+02],[  0.14830522 114.81610443],"[-2215762240066055936                  480  -792931637749390720
                  288]",[2462  480 1167  288],3.2795348167419434,-2215762240066055936,480,-792931637749390720,288,2462,480,1167,288
3,C,[-5.33484351e-16  1.80333333e+02],[ 0.2845696  52.54441392],"[-561715945317825536                 480 -201817853545781344
                 288]",[1502  480  827  288],3.3665096759796143,-561715945317825536,480,-201817853545781344,288,1502,480,827,288
4,C,[-5.03666978e-16  1.80000000e+02],[ 0.28599732 51.99633199],"[-595631663726022144                 480 -214427398941367904
                 288]",[1496  480  825  288],3.448448419570923,-595631663726022144,480,-214427398941367904,288,1496,480,825,288
5,L,,[1.18708281e-01 1.27849676e+02],[0 0 0 0],[2966  480 1349  288],3.5453860759735107,0,0,0,0,2966,480,1349,288
6,C,[-6.41916713e-17  1.80000000e+02],[ 0.28607704 52.4412448 ],"[-4673503494710019072                  480 -1682461258095606272
                  288]",[1494  480  823  288],3.6299047470092773,-4673503494710019072,480,-1682461258095606272,288,1494,480,823,288
7,C,[-9.95683901e-17  1.80500000e+02],[ 0.28520468 52.42356725],"[-3007982749897757184                  480 -1079659918577658752
                  288]",[1499  480  825  288],3.710695505142212,-3007982749897757184,480,-1079659918577658752,288,1499,480,825,288
8,C,[-8.27333073e-16  1.80333333e+02],[ 0.28584511 51.74489796],"[-362208010879756992                 480 -130137027268255136
                 288]",[1498  480  826  288],3.7929794788360596,-362208010879756992,480,-130137027268255136,288,1498,480,826,288
9,L,,[1.16828852e-01 1.28830905e+02],[0 0 0 0],[3005  480 1362  288],3.8858370780944824,0,0,0,0,3005,480,1362,288
10,L,,[ 0.18982129 95.41577312],[0 0 0 0],[2026  480 1014  288],3.9642903804779053,0,0,0,0,2026,480,1014,288
11,C,[-2.86291111e-16  1.80500000e+02],[ 0.19294991 93.34941249],"[-1046137962355911424                  480  -375491923049283328
                  288]",[2003  480 1008  288],4.043360948562622,-1046137962355911424,480,-375491923049283328,288,2003,480,1008,288
12,C,[-1.30732445e-16  1.81000000e+02],[ 0.19196025 94.02800361],"[-2287113960294423296                  480  -818465530941481728
                  288]",[2010  480 1010  288],4.12593936920166,-2287113960294423296,480,-818465530941481728,288,2010,480,1010,288
13,L,,[ 0.19069134 94.46715433],[0 0 0 0],[2021  480 1014  288],4.202486515045166,0,0,0,0,2021,480,1014,288
14,C,[-3.62052867e-17  1.80000000e+02],[ 0.28620134 52.38885445],"[-8286082702481500160                  480 -2982989772893340160
                  288]",[1494  480  823  288],4.284386157989502,-8286082702481500160,480,-2982989772893340160,288,1494,480,823,288
15,C,[-1.33502747e-15  1.80000000e+02],[ 0.28603701 51.97783993],"[-224714477166147584                 480  -80897211779812976
                 288]",[1496  480  825  288],4.36591911315918,-224714477166147584,480,-80897211779812976,288,1496,480,825,288
16,L,,[  0.14713089 115.08907509],[0 0 0 0],[2480  480 1175  288],4.448646068572998,0,0,0,0,2480,480,1175,288
