,direction,leftFitAverage,rightFitAverage,leftLine,rigthLine,time(s),leftX1,leftY1,leftX2,leftY2,rightX1,rightY1,rightX2,rightX2
0,C,[-8.97023331e-02  2.38819791e+02],[  0.16612697 124.7073556 ],[-2688   480  -548   288],[2138  480  982  288],2.578012228012085,-2688,480,-548,288,2138,480,982,288
1,C,[-4.21686747e-02  2.22945783e+02],[  0.19455671 114.29574059],[-6095   480 -1542   288],[1879  480  892  288],3.1821389198303223,-6095,480,-1542,288,1879,480,892,288
2,C,[-5.42919135e-02  2.15180136e+02],[  0.15084789 140.03384571],[-4877   480 -1341   288],[2253  480  980  288],3.2789649963378906,-4877,480,-1341,288,2253,480,980,288
3,C,[-8.08607524e-02  2.40729394e+02],[  0.17126418 126.05405968],[-2959   480  -584   288],[2066  480  945  288],3.3624868392944336,-2959,480,-584,288,2066,480,945,288
4,C,[-7.63888889e-02  2.26916667e+02],[  0.1762439  127.76592498],[-3313   480  -799   288],[1998  480  909  288],3.447960615158081,-3313,480,-799,288,1998,480,909,288
5,C,[-6.67984515e-02  2.39003459e+02],[  0.19520312 113.9873064 ],[-3607   480  -733   288],[1875  480  891  288],3.5362119674682617,-3607,480,-733,288,1875,480,891,288
6,C,[-6.85038312e-02  2.24249624e+02],[  0.15117896 134.02398546],[-3733   480  -930   288],[2288  480 1018  288],3.6351752281188965,-3733,480,-930,288,2288,480,1018,288
7,C,[-8.56388760e-02  2.34035522e+02],[  0.23130549 102.02094372],[-2872   480  -630   288],[1634  480  804  288],3.7317955493927,-2872,480,-630,288,1634,480,804,288
8,C,[-1.21483560e-01  2.57579214e+02],[  0.16596153 128.33077217],[-1830   480  -250   288],[2118  480  962  288],3.8231451511383057,-1830,480,-250,288,2118,480,962,288
9,C,[-6.48520604e-02  2.22152588e+02],[  0.19497081 122.08455884],[-3975   480 -1015   288],[1835  480  850  288],3.910291910171509,-3975,480,-1015,288,1835,480,850,288
10,C,[-8.55361472e-02  2.35432447e+02],[  0.19860703 120.21295798],[-2859   480  -614   288],[1811  480  844  288],3.9997546672821045,-2859,480,-614,288,1811,480,844,288
11,C,[-4.58065052e-02  2.28988693e+02],[  0.16944646 127.3180748 ],[-5479   480 -1288   288],[2081  480  948  288],4.088799715042114,-5479,480,-1288,288,2081,480,948,288
12,C,[-7.54427577e-02  2.30460734e+02],[  0.1513113  137.58647724],[-3307   480  -762   288],[2262  480  994  288],4.1878626346588135,-3307,480,-762,288,2262,480,994,288
13,C,[-4.0725409e-02  2.0733219e+02],[  0.14646199 140.45669396],[-6695   480 -1980   288],[2318  480 1007  288],4.271772861480713,-6695,480,-1980,288,2318,480,1007,288
14,C,[-1.30451128e-01  2.62121429e+02],[  0.14912805 139.14100336],[-1670   480  -198   288],[2285  480  998  288],4.3668811321258545,-1670,480,-198,288,2285,480,998,288
15,C,[-4.69005848e-02  2.25427368e+02],[  0.16724496 129.46444262],[-5427   480 -1334   288],[2095  480  947  288],4.456631422042847,-5427,480,-1334,288,2095,480,947,288
16,C,[-8.29165195e-02  2.44978981e+02],[  0.19916232 112.42657016],[-2834   480  -518   288],[1845  480  881  288],4.551580429077148,-2834,480,-518,288,1845,480,881,288
17,C,[-5.05142590e-02  2.25871973e+02],[  0.17657196 126.13400495],[-5030   480 -1229   288],[2004  480  916  288],4.637375831604004,-5030,480,-1229,288,2004,480,916,288
18,C,[-6.43542127e-02  2.29611009e+02],[  0.17179003 128.91990281],[-3890   480  -907   288],[2043  480  926  288],4.735454559326172,-3890,480,-907,288,2043,480,926,288
19,C,[-9.74937343e-02  2.50242356e+02],[  0.19698161 113.14524343],[-2356   480  -387   288],[1862  480  887  288],4.822254419326782,-2356,480,-387,288,1862,480,887,288
20,C,[-8.53658537e-02  2.31646341e+02],[  0.22823456 102.97724058],[-2909   480  -660   288],[1651  480  810  288],4.9083898067474365,-2909,480,-660,288,1651,480,810,288
21,C,[-9.76597475e-02  2.43466612e+02],[1.37819696e-01 1.43704053e+02],[-2422   480  -456   288],[2440  480 1046  288],4.997812271118164,-2422,480,-456,288,2440,480,1046,288
22,C,[-1.10334764e-01  2.51291680e+02],[  0.16882312 126.80229748],[-2072   480  -332   288],[2092  480  954  288],5.083451986312866,-2072,480,-332,288,2092,480,954,288
23,C,[-6.07686921e-02  2.23039700e+02],[  0.14308993 141.66858106],[-4228   480 -1068   288],[2364  480 1022  288],5.17396354675293,-4228,480,-1068,288,2364,480,1022,288
24,C,[-8.93098461e-02  2.42098732e+02],[  0.18371689 120.52204057],[-2663   480  -513   288],[1956  480  911  288],5.260523796081543,-2663,480,-513,288,1956,480,911,288
25,C,[-8.81465448e-02  2.34382400e+02],[  0.14845815 139.75197664],[-2786   480  -608   288],[2291  480  998  288],5.343952178955078,-2786,480,-608,288,2291,480,998,288
