,direction,leftFitAverage,rightFitAverage,leftLine,rigthLine,time(s),leftX1,leftY1,leftX2,leftY2,rightX1,rightY1,rightX2,rightX2
34,C,[-1.29657061e-01  2.61215571e+02],[1.25654250e-01 1.51584846e+02],[-1687   480  -206   288],[2613  480 1085  288],6.192644357681274,-1687,480,-206,288,2613,480,1085,288
35,C,[-7.0888062e-02  2.2968956e+02],[1.41804202e-01 1.44558312e+02],[-3531   480  -822   288],[2365  480 1011  288],6.279634237289429,-3531,480,-822,288,2365,480,1011,288
36,C,[-4.90073266e-02  2.18223660e+02],[  0.17769292 130.03469001],[-5341   480 -1423   288],[1969  480  888  288],6.3801374435424805,-5341,480,-1423,288,1969,480,888,288
37,C,[-1.15756390e-01  2.51435249e+02],[  0.14713015 137.56629063],[-1974   480  -315   288],[2327  480 1022  288],6.464432954788208,-1974,480,-315,288,2327,480,1022,288
38,C,[-1.12920168e-01  2.49031338e+02],[1.33688313e-01 1.38897556e+02],[-2045   480  -345   288],[2551  480 1115  288],6.555438041687012,-2045,480,-345,288,2551,480,1115,288
39,C,[-7.8980695e-02  2.3701186e+02],[  0.20126111 108.35074246],[-3076   480  -645   288],[1846  480  892  288],6.6448564529418945,-3076,480,-645,288,1846,480,892,288
40,C,[-8.23710282e-02  2.29722484e+02],[1.30936599e-01 1.46729143e+02],[-3038   480  -707   288],[2545  480 1078  288],6.735665559768677,-3038,480,-707,288,2545,480,1078,288
41,C,[-7.38249989e-02  2.37732523e+02],[1.32999849e-01 1.46550999e+02],[-3281   480  -680   288],[2507  480 1063  288],6.823677062988281,-3281,480,-680,288,2507,480,1063,288
42,C,[-9.44633197e-02  2.45295454e+02],[1.31941101e-01 1.47289138e+02],[-2484   480  -452   288],[2521  480 1066  288],6.915966033935547,-2484,480,-452,288,2521,480,1066,288
43,C,[-7.47037559e-02  2.30689978e+02],[1.21993464e-01 1.51721319e+02],[-3337   480  -767   288],[2690  480 1117  288],7.011656284332275,-3337,480,-767,288,2690,480,1117,288
44,C,[-9.96952983e-02  2.44287595e+02],[  0.14985689 133.17796064],[-2364   480  -438   288],[2314  480 1033  288],7.113736391067505,-2364,480,-438,288,2314,480,1033,288
45,C,[-6.19230786e-02  2.24272981e+02],[1.41161920e-01 1.47580691e+02],[-4129   480 -1029   288],[2354  480  994  288],7.209594011306763,-4129,480,-1029,288,2354,480,994,288
46,C,[-9.14387031e-02  2.40310284e+02],[  0.15185913 137.55035055],[-2621   480  -521   288],[2255  480  990  288],7.302278995513916,-2621,480,-521,288,2255,480,990,288
47,C,[-7.12447002e-02  2.37171336e+02],[1.36039735e-01 1.45553965e+02],[-3408   480  -713   288],[2458  480 1047  288],7.390985727310181,-3408,480,-713,288,2458,480,1047,288
48,C,[-7.65285251e-02  2.28926650e+02],[  0.17364296 122.1510606 ],[-3280   480  -771   288],[2060  480  955  288],7.492663621902466,-3280,480,-771,288,2060,480,955,288
49,C,[-1.11282909e-01  2.50159193e+02],[1.39275738e-01 1.43586932e+02],[-2065   480  -340   288],[2415  480 1036  288],7.572237014770508,-2065,480,-340,288,2415,480,1036,288
50,C,[-1.11442566e-01  2.51811673e+02],[  0.1523691  137.32402764],[-2047   480  -324   288],[2248  480  988  288],7.662901878356934,-2047,480,-324,288,2248,480,988,288
51,C,[-8.12856623e-02  2.36558745e+02],[ 0.25366117 88.39100006],[-2994   480  -632   288],[1543  480  786  288],7.754360198974609,-2994,480,-632,288,1543,480,786,288
52,C,[-7.18678380e-02  2.26752807e+02],[  0.14448971 142.87979436],[-3523   480  -852   288],[2333  480 1004  288],7.841284513473511,-3523,480,-852,288,2333,480,1004,288
53,C,[-9.91230237e-02  2.53836291e+02],[  0.16865542 127.76835494],[-2281   480  -344   288],[2088  480  950  288],7.928146600723267,-2281,480,-344,288,2088,480,950,288
54,C,[-8.56686513e-02  2.34348146e+02],[  0.17828615 123.05955621],[-2867   480  -626   288],[2002  480  925  288],8.017794847488403,-2867,480,-626,288,2002,480,925,288
55,C,[-8.65635013e-02  2.34548446e+02],[  0.14702888 139.7846459 ],[-2835   480  -617   288],[2313  480 1008  288],8.11800742149353,-2835,480,-617,288,2313,480,1008,288
56,C,[-1.03099179e-01  2.53344434e+02],[  0.1598932  127.58273806],[-2198   480  -336   288],[2204  480 1003  288],8.203148603439331,-2198,480,-336,288,2204,480,1003,288
57,C,[-7.76442308e-02  2.40545072e+02],[1.35466027e-01 1.46757024e+02],[-3084   480  -611   288],[2459  480 1042  288],8.292667388916016,-3084,480,-611,288,2459,480,1042,288
