,direction,leftFitAverage,rightFitAverage,leftLine,rigthLine,slopeLeft,interceptLeft,slopeRight,interceptRight
0,C,[ -0.99978126 557.40796957],[   0.89984351 -101.        ],[ 77 480 269 288],[645 480 432 288],-0.9997812634438334,557.4079695695848,0.8998435054773085,-101.00000000000011
1,C,[ -0.99878926 559.7423056 ],[ 0.51017214 83.        ],[ 79 480 272 288],[778 480 401 288],-0.9987892631128299,559.7423056000722,0.5101721439749608,82.99999999999999
2,C,[ -1.13216491 622.17200315],[  0.90873678 -13.01613801],[125 480 295 288],[542 480 331 288],-1.1321649148961568,622.1720031523154,0.9087367835281025,-13.016138007790735
3,C,[ -1. 630.],[  0.99880805 -80.99639633],[149 480 341 288],[561 480 369 288],-1.0000000000000002,629.9999999999998,0.9988080460898482,-80.99639632736239
4,C,[ -0.99971192 559.38107304],[   1. -163.],[ 79 480 271 288],[642 480 450 288],-0.9997119206699145,559.3810730409987,1.0000000000000004,-163.00000000000006
5,C,[ -0.7945775  464.23502496],[  1.00015588 -82.90002396],[-19 480 221 288],[562 480 370 288],-0.7945775038472653,464.2350249584025,1.0001558750518644,-82.90002395562345
6,C,[ -1.         605.66666667],[  0.99962812 -77.81813353],[125 480 317 288],[558 480 365 288],-1.0,605.6666666666665,0.999628115998302,-77.81813353293776
7,C,[ -0.99457984 560.82234225],[ 1. -8.],[ 81 480 274 288],[488 480 296 288],-0.9945798400960998,560.8223422502394,1.0000000000000002,-8.000000000000124
8,C,[ -1. 558.],[  0.99937583 -79.96083728],[ 78 480 270 288],[560 480 368 288],-0.9999999999999998,558.0,0.9993758346819512,-79.96083727615462
9,C,[ -0.9998111  556.57317052],[  1.         -45.33333333],[ 76 480 268 288],[525 480 333 288],-0.9998111039853329,556.5731705165961,1.0,-45.333333333333364
10,C,[ -1.00002299 560.45528772],[ 0.62441315 24.        ],[ 80 480 272 288],[730 480 422 288],-1.000022989526656,560.4552877230425,0.6244131455399059,23.99999999999997
11,C,[ -0.99986789 554.61511447],[  1.         -84.66666667],[ 74 480 266 288],[564 480 372 288],-0.9998678910204714,554.6151144710551,1.0,-84.66666666666659
12,C,[ -0.99988463 556.58693975],[   1. -166.],[ 76 480 268 288],[645 480 453 288],-0.9998846308415039,556.586939753371,1.0000000000000002,-165.99999999999983
13,C,[ -0.99932254 549.61772958],[  1. -63.],[ 69 480 261 288],[543 480 351 288],-0.9993225365091122,549.6177295840222,1.0,-62.99999999999999
14,C,[ -1.00134533 563.33537253],[  0.44600939 142.        ],[ 83 480 274 288],[757 480 327 288],-1.0013453293581804,563.3353725263776,0.4460093896713614,142.0
15,C,[ -0.74334898 521.        ],[  1.00064543 -83.80141813],[ 55 480 313 288],[563 480 371 288],-0.7433489827856027,521.0,1.0006454346763591,-83.80141812803392
16,C,[ -0.99970388 554.66073312],[   1. -142.],[ 74 480 266 288],[622 480 430 288],-0.9997038827011608,554.660733116144,0.9999999999999998,-141.99999999999997
