,direction,leftFitAverage,rightFitAverage,leftLine,rigthLine,slopeLeft,interceptLeft,slopeRight,interceptRight
0,C,[ -0.57291667 537.375     ],[3.47222222e-02 1.86194444e+02],[100 480 435 288],[8461  480 2931  288],-0.5729166666666671,537.3750000000002,0.034722222222222245,186.19444444444449
1,C,[ -1. 774.],[4.05048585e-02 1.85880492e+02],[293 480 485 288],[7261  480 2521  288],-0.9999999999999997,773.9999999999998,0.040504858470637825,185.8804921841995
2,C,[ -0.52821161 450.00587535],[5.02523129e-02 1.81926409e+02],[-56 480 306 288],[5931  480 2110  288],-0.5282116118796171,450.0058753532647,0.050252312867956464,181.92640874684596
3,C,[ -0.75517241 537.28965517],[3.44827586e-02 1.86275862e+02],[ 75 480 330 288],[8518  480 2950  288],-0.7551724137931028,537.2896551724132,0.0344827586206894,186.27586206896555
4,C,[ -1. 773.],[3.47222222e-02 1.86194444e+02],[293 480 485 288],[8461  480 2931  288],-1.0000000000000013,773.0000000000007,0.034722222222222245,186.19444444444449
5,C,[ -0.75384615 536.9       ],[3.47222222e-02 1.86194444e+02],[ 75 480 330 288],[8461  480 2931  288],-0.7538461538461545,536.9000000000003,0.034722222222222245,186.19444444444449
6,C,[ -0.68544974 460.12328042],[5.16224178e-02 1.86438929e+02],[-28 480 251 288],[5686  480 1967  288],-0.6854497354497339,460.1232804232797,0.05162241775368733,186.43892897182192
7,C,[ -0.75531915 537.74468085],[9.90508202e-02 1.71831980e+02],[ 76 480 330 288],[3111  480 1172  288],-0.7553191489361688,537.744680851063,0.09905082022661937,171.83198038220863
8,C,[ -0.53235294 521.65588235],[3.54609929e-02 1.86049645e+02],[ 78 480 438 288],[8289  480 2875  288],-0.5323529411764704,521.655882352941,0.035460992907801324,186.04964539007094
9,C,[ -0.75704225 536.9084507 ],[3.47222222e-02 1.86194444e+02],[ 75 480 328 288],[8461  480 2931  288],-0.7570422535211268,536.9084507042253,0.034722222222222245,186.19444444444449
10,C,[ -0.50793651 292.55555556],[9.48272230e-02 1.65531021e+02],[-369  480    8  288],[3316  480 1291  288],-0.5079365079365084,292.55555555555554,0.0948272230455481,165.5310211276721
11,C,[-1.77777778e-01  3.25422222e+02],[2.38280574e-02 1.92451652e+02],[-869  480  210  288],[12067   480  4009   288],-0.177777777777778,325.4222222222223,0.023828057429510427,192.45165196332812
12,C,[-3.78456304e-01  3.87962637e+02],[4.80011042e-02 1.85874568e+02],[-243  480  264  288],[6127  480 2127  288],-0.37845630387706847,387.9626373263629,0.04800110421900583,185.8745683170665
13,C,[-4.20427992e-01  4.72811770e+02],[3.52112676e-02 1.86098592e+02],[-17 480 439 288],[8346  480 2894  288],-0.4204279916369456,472.8117697700164,0.035211267605633784,186.0985915492958
14,C,[ -0.32000977 300.74071964],[6.15092983e-02 1.83856620e+02],[-560  480   39  288],[4814  480 1693  288],-0.3200097688049495,300.740719635298,0.06150929829721874,183.85661993005846
15,C,[ -0.57142857 538.35714286],[3.27102804e-02 1.86588785e+02],[102 480 438 288],[8969  480 3100  288],-0.5714285714285725,538.3571428571435,0.03271028037383182,186.588785046729
16,C,[ -0.50121226 341.02484339],[6.73902278e-02 1.88447012e+02],[-277  480  105  288],[4326  480 1477  288],-0.5012122615010721,341.0248433858656,0.0673902277979529,188.44701221525258
17,C,[ -0.55677822 461.80699565],[  0.18920226 109.32320709],[-32 480 312 288],[1959  480  944  288],-0.55677821894498,461.80699565135177,0.18920225624496356,109.32320709105568
18,C,[ -0.33733422 308.60966896],[3.44827586e-02 1.86241379e+02],[-508  480   61  288],[8518  480 2950  288],-0.3373342243240465,308.6096689626811,0.03448275862068977,186.24137931034477
19,C,[-2.38659386e-01  2.74890551e+02],[3.02670311e-02 1.91628333e+02],[-859  480  -54  288],[9527  480 3184  288],-0.2386593858816081,274.89055080721744,0.030267031118587102,191.62833263246415
20,C,[ -0.39339964 382.39467768],[2.51130491e-02 1.92081718e+02],[-248  480  239  288],[11464   480  3819   288],-0.3933996380312859,382.3946776825192,0.025113049095607215,192.08171834625324
21,C,[ -1.03846154 785.96153846],[3.57142857e-02 1.86000000e+02],[294 480 479 288],[8232  480 2856  288],-1.0384615384615372,785.9615384615377,0.035714285714285365,186.00000000000017
22,C,[ -0.55596219 375.33509865],[3.12605815e-02 1.90817373e+02],[-188  480  157  288],[9250  480 3108  288],-0.5559621949911877,375.3350986459325,0.031260581523739395,190.8173730217151
23,C,[ -0.53141783 300.48684211],[3.80952381e-02 1.85123810e+02],[-337  480   23  288],[7740  480 2700  288],-0.5314178302900104,300.48684210526307,0.038095238095238036,185.12380952380954
24,C,[ -0.53212907 300.90540541],[1.53846154e-02 1.92015385e+02],[-336  480   24  288],[18719   480  6239   288],-0.5321290678433537,300.9054054054054,0.015384615384615188,192.01538461538465
25,C,[ -0.46158121 293.34204039],[   0.65079365 -109.20634921],[-404  480   11  288],[905 480 610 288],-0.4615812093967433,293.3420403920403,0.65079365079365,-109.2063492063487
26,C,[ -0.42296977 297.49121915],[   0.64285714 -104.78571429],[-431  480   22  288],[909 480 610 288],-0.42296976597657243,297.49121914749605,0.6428571428571412,-104.78571428571313
27,C,[ -0.38863991 287.46953024],[   0.64705882 -106.82352941],[-495  480   -1  288],[906 480 610 288],-0.38863990567161427,287.46953023722534,0.6470588235294118,-106.82352941176474
28,C,[-2.56843997e-01  2.78789341e+02],[  0.55824091 -45.0015645 ],[-783  480  -35  288],[940 480 596 288],-0.25684399742565994,278.78934085569864,0.5582409110049273,-45.00156450261157
29,C,[-2.04831132e-01  2.68833039e+02],[   0.64705882 -107.47058824],[-1030   480   -93   288],[907 480 611 288],-0.20483113213745963,268.83303929298904,0.6470588235294125,-107.47058823529457
30,C,[-2.61121554e-01  2.66667920e+02],[   0.68619138 -117.35575961],[-816  480  -81  288],[870 480 590 288],-0.2611215538847118,266.66791979949863,0.6861913799233191,-117.35575960876884
31,C,[ -0.51020408 293.        ],[  0.23035281 100.06964847],[-366  480    9  288],[1649  480  815  288],-0.510204081632653,292.99999999999994,0.2303528065592456,100.06964847215914
32,C,[ -0.51894625 297.53274237],[0.4216258  5.57339866],[-351  480   18  288],[1125  480  669  288],-0.5189462513265506,297.5327423684375,0.42162580119088267,5.573398661205229
33,C,[ -0.51148344 298.11557302],[  0.56145167 -59.72916841],[-355  480   19  288],[961 480 619 288],-0.5114834409846691,298.11557301859386,0.5614516654119275,-59.729168413127894
34,C,[ -0.52595304 300.11818869],[ 0.43438466 -0.17103268],[-342  480   23  288],[1105  480  663  288],-0.5259530357613833,300.11818868739203,0.43438466268975384,-0.17103268484281386
35,C,[ -0.50978521 297.22113646],[  0.48630757 -25.96299022],[-358  480   18  288],[1040  480  645  288],-0.5097852136546122,297.2211364643173,0.4863075678566043,-25.962990215121163
36,C,[ -0.51082531 298.71206994],[  0.48390619 -22.68312105],[-354  480   20  288],[1038  480  642  288],-0.5108253101262276,298.71206993795823,0.4839061896996559,-22.683121047825708
37,C,[ -0.51152716 298.53423454],[  0.57316921 -64.75305437],[-354  480   20  288],[950 480 615 288],-0.5115271585950151,298.53423454385756,0.5731692092351854,-64.75305436707694
38,C,[ -0.51064863 298.27553591],[ 0.3962514  17.56710766],[-355  480   20  288],[1167  480  682  288],-0.5106486309530356,298.2755359123165,0.3962514026544523,17.56710766112421
39,C,[ -0.50843803 298.4616391 ],[  0.48624429 -25.69805556],[-357  480   20  288],[1040  480  645  288],-0.5084380303658826,298.46163909534715,0.48624428694211536,-25.698055562748397
40,C,[ -0.51096386 297.11964564],[ 0.26927942 81.39412551],[-357  480   17  288],[1480  480  767  288],-0.510963857895183,297.11964563862927,0.2692794240548168,81.39412550586988
41,C,[ -0.3819145  284.96024249],[  0.45547247 -10.50869408],[-510  480   -7  288],[1076  480  655  288],-0.38191449603332134,284.9602424854762,0.4554724732933845,-10.508694076788947
42,C,[ -0.50904887 295.5875323 ],[ 0.32975046 46.86354311],[-362  480   14  288],[1313  480  731  288],-0.5090488714865791,295.5875322997415,0.3297504562243683,46.86354310896156
43,C,[ -0.50920529 295.40952752],[ 0.32584933 58.09143497],[-362  480   14  288],[1294  480  705  288],-0.5092052880668503,295.40952751817235,0.32584933241948466,58.09143497475952
44,C,[ -0.50956888 296.7594123 ],[  0.45523901 -10.08030879],[-359  480   17  288],[1076  480  654  288],-0.5095688819005866,296.75941229752766,0.45523900896002256,-10.080308794272316
45,C,[ -0.51423861 298.21859289],[  0.47792382 -20.52237224],[-353  480   19  288],[1047  480  645  288],-0.5142386067688651,298.21859289405495,0.47792381561861785,-20.52237224209681
46,C,[ -0.51069676 298.40459648],[  0.56157091 -60.27665869],[-355  480   20  288],[962 480 620 288],-0.5106967610106942,298.4045964806474,0.5615709074327402,-60.27665868673028
47,C,[ -0.51035687 298.79809639],[ 0.36498108 41.31071551],[-355  480   21  288],[1201  480  675  288],-0.5103568711174552,298.79809638657997,0.3649810801513591,41.31071551427574
48,C,[ -0.43149706 291.32131956],[ 0.33537149 47.42108213],[-437  480    7  288],[1289  480  717  288],-0.4314970608888695,291.321319557114,0.3353714931646676,47.42108212627006
49,C,[ -0.51175565 297.20049396],[ 0.380434   31.45083884],[-357  480   17  288],[1179  480  674  288],-0.5117556500133508,297.2004939573554,0.38043400469144384,31.450838837864822
50,C,[ -0.42398938 288.77915226],[  0.57739959 -66.60951564],[-451  480    1  288],[946 480 614 288],-0.4239893750902859,288.7791522577043,0.5773995926220353,-66.60951563764614
51,C,[ -0.33965922 279.5733255 ],[  0.57374224 -64.57362705],[-590  480  -24  288],[949 480 614 288],-0.33965922444183333,279.5733254994125,0.5737422362247234,-64.57362704920062
52,C,[ -0.40829746 286.58488702],[ 0.42363965 11.07301025],[-473  480   -3  288],[1106  480  653  288],-0.4082974560038065,286.58488701781584,0.42363964610327015,11.073010252434516
53,C,[ -0.50909658 297.22495386],[0.40756651 7.63777736],[-359  480   18  288],[1158  480  687  288],-0.5090965798766696,297.22495385780735,0.4075665137042126,7.637777361852743
54,C,[ -0.50909631 297.23110877],[  0.53509666 -47.03114154],[-359  480   18  288],[984 480 626 288],-0.5090963098006764,297.2311087722698,0.5350966613735489,-47.03114153664824
55,C,[ -0.40785579 286.57328061],[  0.48264665 -22.22879865],[-474  480   -3  288],[1040  480  642  288],-0.40785579392273164,286.5732806134676,0.4826466542824556,-22.228798652746864
56,C,[ -0.5095742  298.77777778],[  0.58041595 -67.36741205],[-355  480   21  288],[943 480 612 288],-0.5095742000503911,298.7777777777778,0.5804159490131138,-67.36741204531862
57,C,[ -0.51150745 298.56349113],[  0.46628156 -15.72080063],[-354  480   20  288],[1063  480  651  288],-0.5115074479797821,298.56349112658864,0.46628155518097775,-15.72080063077648
58,C,[ -0.52257358 300.78576462],[  0.56021745 -59.10841826],[-342  480   24  288],[962 480 619 288],-0.5225735834345434,300.7857646229739,0.5602174491448703,-59.108418259275815
