,direction,leftFitAverage,rightFitAverage,leftLine,rigthLine,time(s),leftX1,leftY1,leftX2,leftY2,rightX1,rightY1,rightX2,rightX2
0,C,[-4.68434343e-02  2.17168434e+02],[ 0.28475967 73.24751581],[-5610   480 -1512   288],[1428  480  754  288],2.578376293182373,-5610,480,-1512,288,1428,480,754,288
1,C,[-6.29807692e-02  2.31736538e+02],[ 0.29316469 65.07621584],[-3941   480  -893   288],[1415  480  760  288],3.1985204219818115,-3941,480,-893,288,1415,480,760,288
2,C,[-3.91163793e-02  2.17596875e+02],[  0.17407272 126.54378025],[-6708   480 -1799   288],[2030  480  927  288],3.2923123836517334,-6708,480,-1799,288,2030,480,927,288
3,C,[-6.39200027e-02  2.31902979e+02],[1.38107048e-01 1.45005866e+02],[-3881   480  -877   288],[2425  480 1035  288],3.3855626583099365,-3881,480,-877,288,2425,480,1035,288
4,L,,[  0.1912994  119.37469713],[0 0 0 0],[1885  480  881  288],3.477916717529297,0,0,0,0,1885,480,881,288
5,C,[-1.12123165e-01  2.51417435e+02],[1.32948498e-01 1.45301858e+02],[-2038   480  -326   288],[2517  480 1073  288],3.589759588241577,-2038,480,-326,288,2517,480,1073,288
6,C,[-1.70940171e-02  2.08034188e+02],[  0.21563356 106.22468212],[-15909    480  -4677    288],[1733  480  842  288],3.6938068866729736,-15909,480,-4677,288,1733,480,842,288
7,C,[-4.92592858e-02  2.27145303e+02],[  0.16622224 126.5905312 ],[-5133   480 -1235   288],[2126  480  971  288],3.796149253845215,-5133,480,-1235,288,2126,480,971,288
8,C,[-4.53675204e-02  2.18107468e+02],[1.27038340e-01 1.53258527e+02],[-5772   480 -1540   288],[2571  480 1060  288],3.8957855701446533,-5772,480,-1540,288,2571,480,1060,288
9,C,[-2.50000e-02  2.15975e+02],[  0.17724187 128.57141392],[-10560    480  -2881    288],[1982  480  899  288],3.990105628967285,-10560,480,-2881,288,1982,480,899,288
10,C,[-4.26829268e-02  2.23103659e+02],[ 0.22713343 94.26665482],[-6018   480 -1520   288],[1698  480  852  288],4.091324090957642,-6018,480,-1520,288,1698,480,852,288
11,C,[-8.54792711e-02  2.35096961e+02],[  0.16638004 134.84973053],[-2865   480  -618   288],[2074  480  920  288],4.188269853591919,-2865,480,-618,288,2074,480,920,288
12,C,[-6.30973148e-02  2.29784331e+02],[  0.15037375 143.70664267],[-3965   480  -922   288],[2236  480  959  288],4.288045406341553,-3965,480,-922,288,2236,480,959,288
13,C,[-3.52112676e-02  2.18500000e+02],[  0.15006285 139.930617  ],[-7426   480 -1973   288],[2266  480  986  288],4.3794050216674805,-7426,480,-1973,288,2266,480,986,288
14,C,[-2.47125264e-02  2.18441546e+02],[  0.19438792 121.30641035],[-10584    480  -2814    288],[1845  480  857  288],4.477276802062988,-10584,480,-2814,288,1845,480,857,288
15,C,[-1.29059406e-01  2.61300644e+02],[  0.16886572 133.49758603],[-1694   480  -206   288],[2051  480  914  288],4.566203355789185,-1694,480,-206,288,2051,480,914,288
16,C,[-6.91896024e-02  2.33990443e+02],[ 0.24237431 87.96133225],[-3555   480  -780   288],[1617  480  825  288],4.651756286621094,-3555,480,-780,288,1617,480,825,288
